
2024/01/22 (11:24:07) | ===> btop++ v.1.3.0
2024/01/22 (11:24:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/22 (11:24:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/29 (13:55:51) | ===> btop++ v.1.3.0
2024/01/29 (13:55:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (13:55:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (03:26:12) | ===> btop++ v.1.3.0
2024/02/03 (03:26:12) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/02/03 (03:26:17) | ===> btop++ v.1.3.0
2024/02/03 (03:26:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (03:26:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (20:48:25) | ===> btop++ v.1.3.0
2024/02/03 (20:48:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (20:48:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (21:08:03) | ===> btop++ v.1.3.0
2024/02/03 (21:08:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (21:08:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (21:18:06) | ===> btop++ v.1.3.0
2024/02/03 (21:18:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (21:18:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (21:18:29) | ===> btop++ v.1.3.0
2024/02/03 (21:18:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (21:18:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (21:18:50) | ===> btop++ v.1.3.0
2024/02/03 (21:18:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (21:18:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/06 (18:56:03) | ===> btop++ v.1.3.0
2024/02/06 (18:56:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/06 (18:56:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/08 (21:44:29) | ===> btop++ v.1.3.0
2024/02/08 (21:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/08 (21:44:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/08 (21:52:58) | ===> btop++ v.1.3.0
2024/02/08 (21:52:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/08 (21:52:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/08 (21:53:19) | ===> btop++ v.1.3.0
2024/02/08 (21:53:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/08 (21:53:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/05 (09:57:06) | ===> btop++ v.1.3.2
2024/03/05 (09:57:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/05 (09:57:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/12 (20:11:37) | ===> btop++ v.1.3.2
2024/03/12 (20:11:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (20:11:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
